datetime,id,consumption,generation
2012-07-06 8:00,102,0.649,0.0815
2012-07-06 9:00,102,0.966,0.0625
2012-07-06 10:00,102,1.05,0.1875
2012-07-06 11:00,102,0.8025,0.294
2012-07-06 12:00,102,0.5155,0.2155
2012-07-06 13:00,102,1.1165,0.244
2012-07-06 14:00,102,1.362,0.1655
2012-07-06 15:00,102,1.301,0.0595
2012-07-06 16:00,102,1.2775,0.003
2012-07-06 17:00,102,1.081,0.0
2012-07-06 18:00,102,0.987,0.0
2012-07-06 19:00,102,0.87,0.0
2012-07-06 20:00,102,1.332,0.0
2012-07-06 21:00,102,1.293,0.0
2012-07-06 22:00,102,1.0035,0.003
2012-07-06 23:00,102,0.126,0.0
2012-07-07 0:00,102,0.116,0.0
2012-07-07 1:00,102,0.1155,0.0
2012-07-07 2:00,102,0.109,0.0
2012-07-07 3:00,102,0.095,0.0
2012-07-07 4:00,102,0.1125,0.0
2012-07-07 5:00,102,0.1455,0.0
2012-07-07 6:00,102,0.1395,0.0
2012-07-07 7:00,102,0.2945,0.0065
2012-07-07 8:00,102,0.7545,0.0845
2012-07-07 9:00,102,0.583,0.147
2012-07-07 10:00,102,0.7925,0.25
2012-07-07 11:00,102,0.8615,0.375
2012-07-07 12:00,102,0.7745,0.2405
2012-07-07 13:00,102,0.8555,0.3345
2012-07-07 14:00,102,0.5825,0.1535
2012-07-07 15:00,102,0.519,0.0595
2012-07-07 16:00,102,0.7695,0.0125
2012-07-07 17:00,102,1.389,0.0
2012-07-07 18:00,102,1.505,0.0
2012-07-07 19:00,102,1.019,0.0
2012-07-07 20:00,102,1.2615,0.0
2012-07-07 21:00,102,1.116,0.0
2012-07-07 22:00,102,0.4835,0.003
2012-07-07 23:00,102,0.1425,0.0
2012-07-08 0:00,102,0.1425,0.0
2012-07-08 1:00,102,0.158,0.0
2012-07-08 2:00,102,0.1045,0.0
2012-07-08 3:00,102,0.122,0.0
2012-07-08 4:00,102,0.1285,0.0
2012-07-08 5:00,102,0.133,0.0
2012-07-08 6:00,102,0.111,0.0
2012-07-08 7:00,102,0.272,0.0125
2012-07-08 8:00,102,0.7365,0.0815
2012-07-08 9:00,102,0.588,0.2005
2012-07-08 10:00,102,1.0535,0.3435
2012-07-08 11:00,102,0.8315,0.3405
2012-07-08 12:00,102,0.4975,0.1405
2012-07-08 13:00,102,0.494,0.122
2012-07-08 14:00,102,0.4945,0.2125
2012-07-08 15:00,102,0.4945,0.094
2012-07-08 16:00,102,0.8185,0.0125
2012-07-08 17:00,102,1.007,0.0
2012-07-08 18:00,102,0.7945,0.003
2012-07-08 19:00,102,0.397,0.0
2012-07-08 20:00,102,0.492,0.0
2012-07-08 21:00,102,0.6045,0.0
2012-07-08 22:00,102,0.492,0.0
2012-07-08 23:00,102,0.1185,0.0
2012-07-09 0:00,102,0.103,0.0
2012-07-09 1:00,102,0.1125,0.0
2012-07-09 2:00,102,0.1235,0.0
2012-07-09 3:00,102,0.109,0.0
2012-07-09 4:00,102,0.099,0.0
2012-07-09 5:00,102,0.123,0.0
2012-07-09 6:00,102,0.14,0.0
2012-07-09 7:00,102,0.699,0.0065
2012-07-09 8:00,102,0.833,0.081
2012-07-09 9:00,102,1.5345,0.2065
2012-07-09 10:00,102,1.5505,0.341
2012-07-09 11:00,102,1.196,0.369
2012-07-09 12:00,102,0.9475,0.4125
2012-07-09 13:00,102,0.769,0.2905
2012-07-09 14:00,102,0.8855,0.178
2012-07-09 15:00,102,0.4535,0.0565
2012-07-09 16:00,102,0.4505,0.003
