id,month,consumption,generation,price
1,1,210.1255,255.4555,97.9
1,2,197.243,212.6575,93.3
1,3,192.0475,212.2365,93.3
1,4,196.1665,174.306,93.3
1,5,265.082,161.7205,116.5
1,6,299.297,111.3765,124.7
1,7,332.0785,147.851,130.9
1,8,251.2815,206.88,112.6
1,9,188.7565,254.5575,93.3
1,10,226.8415,295.5605,104.5
1,11,202.086,248.5665,94.3
1,12,192.141,260.87,93.3
3,1,82.504,72.6095,93.3
3,2,56.2795,65.812,93.3
3,3,59.685,69.1805,93.3
3,4,72.2735,51.903,93.3
3,5,104.394,46.1215,93.3
3,6,147.2405,31.222,93.3
3,7,182.1285,37.6665,93.3
3,8,93.0415,58.2945,93.3
3,9,66.004,76.131,93.3
3,10,61.3235,82.7035,93.3
3,11,54.1685,71.9675,93.3
3,12,61.4295,74.4685,93.3
4,1,177.387,63.197,93.3
4,2,164.984,52.156,93.3
4,3,125.3325,54.998,93.3
4,4,115.993,46.595,93.3
4,5,224.237,47.0855,103.5
4,6,168.4105,32.3425,93.3
4,7,149.643,40.5895,93.3
4,8,132.0705,54.1195,93.3
4,9,122.98,63.725,93.3
4,10,128.7485,73.221,93.3
4,11,131.353,60.9705,93.3
4,12,138.2385,65.9675,93.3
5,1,148.467,60.1635,93.3
5,2,130.9285,51.9855,93.3
5,3,136.097,55.1615,93.3
5,4,135.6925,46.0085,93.3
5,5,131.8195,45.499,93.3
5,6,138.0915,30.563000000000002,93.3
5,7,156.0285,38.934,93.3
5,8,124.76,53.3505,93.3
5,9,111.177,62.621,93.3
5,10,99.5675,66.306,93.3
5,11,122.0515,56.255,93.3
5,12,133.4165,57.934,93.3
6,1,353.4215,137.4795,134.4
6,2,311.5665,122.774,127.2
6,3,294.4355,120.392,123.6
6,4,307.3935,106.3235,126.4
6,5,381.382,92.527,138.3
6,6,363.079,53.0585,135.8
6,7,553.251,76.668,228.1
6,8,511.8025,86.048,221.1
6,9,341.7915,0.0,132.5
6,10,310.812,0.0,127.0
6,11,289.701,0.0,122.6
6,12,319.1285,0.0,128.6
7,1,174.8385,155.6865,93.3
7,2,149.347,119.4685,93.3
7,3,156.011,141.943,93.3
7,4,133.929,116.922,93.3
7,5,219.9815,123.367,101.9
7,6,172.074,82.1655,93.3
7,7,189.033,106.3005,93.3
7,8,150.73,142.025,93.3
7,9,77.526,161.866,93.3
7,10,114.7465,171.9195,93.3
7,11,109.7,142.542,93.3
7,12,111.8155,145.6025,93.3
8,1,286.737,62.161,121.9
8,2,324.1425,52.077,129.5
8,3,341.3045,50.711,132.5
8,4,306.819,42.6485,126.2
8,5,371.9925,39.979,137.0
8,6,544.7295,25.777,226.8
8,7,470.3175,34.298,212.0
8,8,422.236,49.3415,197.2
8,9,290.4835,58.602,122.8
8,10,294.7565,66.4815,123.7
8,11,332.8615,59.593,131.1
8,12,322.548,63.3365,129.2
9,1,80.6195,71.558,93.3
9,2,64.4035,61.282000000000004,93.3
9,3,68.546,64.8015,93.3
9,4,72.077,52.969500000000004,93.3
9,5,121.8925,55.323,93.3
9,6,187.051,37.2905,93.3
9,7,199.0315,49.0265,93.3
9,8,199.4215,64.077,93.3
9,9,101.2555,72.9535,93.3
9,10,76.795,78.1615,93.3
9,11,74.7105,65.9305,93.3
9,12,78.35,68.33,93.3
10,1,61.8285,54.544000000000004,93.3
10,2,139.6335,46.953,93.3
10,3,133.361,51.4735,93.3
10,4,95.3285,44.4705,93.3
10,5,253.809,49.9885,113.4
10,6,323.6505,33.0225,129.4
10,7,200.4805,42.1515,93.5
10,8,144.818,56.9495,93.3
10,9,83.107,60.0635,93.3
10,10,77.066,61.806,93.3
10,11,112.943,49.815,93.3
10,12,167.5315,52.534,93.3
11,1,238.56,118.498,108.6
11,2,219.7315,2.88,101.8
11,3,252.8435,98.929,113.1
11,4,269.908,87.9505,117.8
11,5,292.7695,91.03,123.3
11,6,321.039,51.5735,129.0
11,7,333.606,70.733,131.2
11,8,349.7465,109.747,133.8
11,9,270.5975,135.9545,118.0
11,10,266.5825,140.792,116.9
11,11,245.8075,113.1725,110.9
11,12,258.672,116.8335,114.8
12,1,288.5245,67.0655,122.3
12,2,257.3055,55.0725,114.4
12,3,273.822,57.3195,118.8
